Latitude	Longitude	Time	Date (DD/MM/YYYY)	Prochlorococcus (cells/mL)	Synechococcus (cells/mL)	Cruise
44.05	-127.27	13:34	3/21/2015	3.62E+03	1.86E+04	PORTLAND
43.18	-128.4	19:40	3/21/2015	1.36E+04	4.56E+04	PORTLAND
41.45	-130.58	6:24	3/22/2015	2.63E+04	5.35E+04	PORTLAND
40.58	-132.06	12:32	3/22/2015	8.68E+04	4.53E+03	PORTLAND
40.09	-133.17	19:00	3/22/2015	1.06E+05	3.04E+03	PORTLAND
38.35	-135.3	6:40	3/23/2015	1.22E+05	1.50E+03	PORTLAND
37.52	-136.3	12:58	3/23/2015	8.15E+04	1.39E+03	PORTLAND
37.03	-137.39	19:25	3/23/2015	1.18E+05	1.80E+03	PORTLAND
35.32	-139.42	5:47	3/24/2015	1.12E+05	2.12E+03	PORTLAND
34.45	-140.45	12:00	3/24/2015	1.38E+05	2.06E+03	PORTLAND
33.55	-141.51	18:30	3/24/2015	1.19E+05	2.38E+03	PORTLAND
32.27	-143.46	5:50	3/25/2015	1.03E+05	3.48E+03	PORTLAND
31.41	-144.46	12:00	3/25/2015	1.06E+05	2.93E+03	PORTLAND
30.45	-145.58	19:00	3/25/2015	7.16E+04	2.58E+03	PORTLAND
29.12	-147.55	6:25	3/26/2015	1.40E+05	4.52E+03	PORTLAND
28.2	-149.01	13:00	3/26/2015	1.52E+05	4.27E+03	PORTLAND
27.3	-150.02	19:00	3/26/2015	1.53E+05	2.48E+03	PORTLAND
25.55	-151.59	5:44	3/27/2015	1.99E+05	2.07E+03	PORTLAND
25.45	-152.1	12:18	3/27/2015	1.60E+05	1.78E+03	PORTLAND
24.55	-153.12	18:28	3/27/2015	1.86E+05	2.12E+03	PORTLAND
23.49	-157.98	6:00	4/20/2016	1.70E+05	9.49E+02	G1
24.8	-158.01	6:00	4/21/2016	1.93E+05	1.54E+03	G1
25.59	-158.01	12:00	4/21/2016	1.77E+05	2.11E+03	G1
26.52	-157.99	18:00	4/21/2016	1.90E+05	2.41E+03	G1
28.14	-158	6:00	4/22/2016	1.87E+05	3.02E+03	G1
28.05	-158	12:00	4/22/2016	1.69E+05	7.09E+03	G1
29.46	-158	6:00	4/23/2016	1.43E+05	4.10E+03	G1
29.93	-158.01	12:00	4/23/2016	1.68E+05	8.14E+03	G1
30.81	-158	18:00	4/23/2016	1.70E+05	8.51E+03	G1
32.59	-158	6:00	4/24/2016	1.76E+05	1.91E+04	G1
32.69	-157.96	12:00	4/24/2016	1.54E+05	4.66E+04	G1
34.07	-158	6:00	4/25/2016	1.87E+05	3.52E+04	G1
34.84	-158.01	12:00	4/25/2016	2.27E+05	1.13E+04	G1
35.68	-158	18:00	4/25/2016	2.13E+05	8.83E+03	G1
37.3	-157.99	6:00	4/26/2016	2.07E+05	6.68E+03	G1
37.84	-158	12:00	4/26/2016	9.54E+04	5.96E+03	G1
37.47	-158	18:00	4/26/2016	2.44E+03	2.22E+04	G1
36.57	-158	6:00	4/27/2016	1.57E+03	2.36E+04	G1
36.67	-157.92	12:00	4/27/2016	3.56E+04	2.37E+04	G1
35.47	-157.98	6:00	4/28/2016	4.25E+03	3.61E+04	G1
35.56	-157.91	12:00	4/28/2016	2.24E+05	1.27E+04	G1
36.57	-158	10:30	4/28/2016	2.45E+05	3.92E+03	G1
36.05	-157.99	6:00	4/29/2016	2.70E+05	7.67E+03	G1
35.07	-158.01	12:00	4/29/2016	2.57E+05	9.94E+03	G1
34.75	-158	18:00	4/29/2016	2.41E+05	6.45E+03	G1
33.09	-158	6:00	4/30/2016	2.42E+05	1.99E+04	G1
29.7	-158	6:00	5/1/2016	1.94E+05	4.19E+04	G1
28.97	-157.99	12:00	5/1/2016	1.89E+05	1.03E+04	G1
28	-158	18:00	5/1/2016	1.95E+05	7.58E+03	G1
25.77	-158.02	4:50	5/29/2017	1.29E+05	1.22E+03	G2
29.65	-158	12:20	5/30/2017	1.49E+05	3.30E+03	G2
30.3	-158	16:00	5/30/2017	1.30E+05	1.53E+03	G2
31	-158	20:00	5/30/2017	1.27E+05	1.73E+03	G2
31.74	-158	1:00	5/31/2017	1.46E+05	1.89E+03	G2
32.26	-158.01	6:15	5/31/2017	1.53E+05	1.65E+03	G2
32.75	-158.01	8:00	5/31/2017	1.50E+05	2.65E+03	G2
33.45	-158.01	12:00	5/31/2017	8.35E+04	4.59E+03	G2
