Cruise	Latitude	Longitude	T7-Like B	T7-Like A	T7-tot	T4 like	Tot V	%I Syn T7 B	%I Syn T7 A	%I Syn T7	%I T4 Syn	%I Syn Tot	%I Pro T7 B	%I Pro T7 A	%I T7 	%I T4 Pro	%I Pro Tot
PORTLAND	44.05	-127.27	1.24E+05	7.63E+03	1.31E+05	1.95E+05	3.26E+05	0.02	0.00	0.02	0.46	0.48	0.06	0.00	0.06	0.58	0.58
PORTLAND	43.18	-128.40	1.49E+05	1.40E+03	1.50E+05	2.26E+05	3.76E+05	0.09	0.00	0.09	0.94	1.03	0.02	0.00	0.02	0.75	0.75
PORTLAND	41.45	-130.58	2.51E+05	1.42E+03	2.53E+05	4.15E+05	6.68E+05	0.01	0.03	0.04	0.35	0.39	0.05	0.00	0.05	0.49	0.49
PORTLAND	40.58	-132.06	6.41E+05	1.04E+04	6.52E+05	6.09E+05	1.26E+06	0.00	0.00	0.00	0.47	0.47	0.05	0.02	0.06	0.76	0.78
PORTLAND	40.09	-133.17	7.05E+05	9.71E+03	7.15E+05	5.87E+05	1.30E+06	0.03	0.00	0.03	0.18	0.20	0.08	0.02	0.09	0.92	0.93
PORTLAND	38.35	-135.30	9.46E+05	1.30E+04	9.59E+05	6.37E+05	1.60E+06	0.08	0.00	0.08	0.19	0.27	0.04	0.00	0.04	0.85	0.85
PORTLAND	37.52	-136.30	6.31E+05	1.11E+04	6.43E+05	5.45E+05	1.19E+06	0.06	0.00	0.06	0.13	0.19	0.07	0.00	0.07	0.60	0.60
PORTLAND	37.03	-137.39	8.06E+05	7.17E+03	8.13E+05	5.58E+05	1.37E+06	0.00	0.00	0.00	0.13	0.13	0.08	0.00	0.08	1.07	1.07
PORTLAND	35.32	-139.42	3.78E+05	3.17E+03	3.82E+05	4.08E+05	7.89E+05	0.09	0.00	0.09	0.17	0.26	0.10	0.00	0.10	0.35	0.35
PORTLAND	34.45	-140.45	3.27E+05	2.59E+03	3.30E+05	3.50E+05	6.80E+05	0.09	0.00	0.09	0.13	0.22	0.08	0.00	0.08	0.62	0.62
PORTLAND	33.55	-141.51	3.94E+05	2.28E+03	3.96E+05	3.33E+05	7.29E+05	0.06	0.00	0.06	0.13	0.19	0.18	0.00	0.18	0.50	0.50
PORTLAND	32.27	-143.46	2.91E+05	1.99E+03	2.93E+05	3.32E+05	6.25E+05	0.06	0.00	0.06	0.08	0.14	0.05	0.00	0.05	0.40	0.40
PORTLAND	31.41	-144.46	3.28E+05	1.80E+03	3.30E+05	2.65E+05	5.95E+05	0.03	0.00	0.03	0.11	0.14	0.19	0.00	0.19	0.50	0.50
PORTLAND	30.45	-145.58	2.55E+05	2.02E+03	2.57E+05	2.57E+05	5.14E+05	0.03	0.00	0.03	0.13	0.16	0.14	0.00	0.14	0.34	0.34
PORTLAND	29.12	-147.55	1.51E+05	1.61E+03	1.53E+05	3.79E+05	5.32E+05	0.03	0.00	0.03	0.14	0.17	0.06	0.02	0.08	0.31	0.33
